country_iso3,year,pillar_code,trajectory_class,trajectory_signal,intervention_family_label,country_sovereign_alert_level
LSO,2024,PGEO,STABLE,STABILITY_SIGNAL,Gouvernance géopolitique et stabilité,YELLOW
LSO,2024,PHUM,DECLINING,DECLINE_SIGNAL,Capital humain,YELLOW
LSO,2024,PMIL,CRITICAL,DETERIORATION_ALERT,Résilience sécuritaire,YELLOW
LSO,2024,PMIN,STABLE,STABILITY_SIGNAL,Chaîne de valeur minière,YELLOW
LSO,2024,PMON,DECLINING,DETERIORATION_ALERT,Résilience monétaire et financière,YELLOW
LSO,2024,PNUM,STABLE,STABILITY_SIGNAL,Souveraineté numérique,YELLOW
LSO,2024,PRES,DECLINING,DETERIORATION_ALERT,Certification énergie-eau,YELLOW
LSO,2024,PTRA,DECLINING,DETERIORATION_ALERT,Transport et logistique,YELLOW
MAR,2024,PECO,DECLINING,DECLINE_SIGNAL,Diversification économique,YELLOW
MAR,2024,PENV,CRITICAL,DETERIORATION_ALERT,Résilience environnementale,YELLOW
MAR,2024,PGEO,DECLINING,DECLINE_SIGNAL,Gouvernance géopolitique et stabilité,YELLOW
MAR,2024,PHUM,DECLINING,DECLINE_SIGNAL,Capital humain,YELLOW
MAR,2024,PMIL,PROGRESSING,PROGRESSION_SIGNAL,Résilience sécuritaire,YELLOW
MAR,2024,PMIN,DECLINING,DECLINE_SIGNAL,Chaîne de valeur minière,YELLOW
MAR,2024,PMON,STABLE,STABILITY_SIGNAL,Résilience monétaire et financière,YELLOW
MAR,2024,PNUM,ACCELERATING,ACCELERATION_SIGNAL,Souveraineté numérique,YELLOW
MAR,2024,PRES,CRITICAL,DETERIORATION_ALERT,Certification énergie-eau,YELLOW
MAR,2024,PTRA,STABLE,STABILITY_SIGNAL,Transport et logistique,YELLOW
MDG,2024,PECO,STABLE,STABILITY_SIGNAL,Diversification économique,YELLOW
MDG,2024,PENV,CRITICAL,DETERIORATION_ALERT,Résilience environnementale,YELLOW
MDG,2024,PGEO,STABLE,STABILITY_SIGNAL,Gouvernance géopolitique et stabilité,YELLOW
MDG,2024,PHUM,DECLINING,DECLINE_SIGNAL,Capital humain,YELLOW
MDG,2024,PMIL,ACCELERATING,PROGRESSION_SIGNAL,Résilience sécuritaire,YELLOW
MDG,2024,PMIN,ACCELERATING,ACCELERATION_SIGNAL,Chaîne de valeur minière,YELLOW
MDG,2024,PMON,PROGRESSING,PROGRESSION_SIGNAL,Résilience monétaire et financière,YELLOW
MDG,2024,PNUM,PROGRESSING,PROGRESSION_SIGNAL,Souveraineté numérique,YELLOW
MDG,2024,PRES,CRITICAL,DETERIORATION_ALERT,Certification énergie-eau,YELLOW
MDG,2024,PTRA,CRITICAL,DETERIORATION_ALERT,Transport et logistique,YELLOW
MLI,2024,PECO,CRITICAL,DECLINE_SIGNAL,Diversification économique,YELLOW
MLI,2024,PENV,DECLINING,DETERIORATION_ALERT,Résilience environnementale,YELLOW
MLI,2024,PGEO,DECLINING,DETERIORATION_ALERT,Gouvernance géopolitique et stabilité,YELLOW
MLI,2024,PHUM,PROGRESSING,PROGRESSION_SIGNAL,Capital humain,YELLOW
MLI,2024,PMIL,ACCELERATING,ACCELERATION_SIGNAL,Résilience sécuritaire,YELLOW
MLI,2024,PMIN,STABLE,STABILITY_SIGNAL,Chaîne de valeur minière,YELLOW
MLI,2024,PMON,DECLINING,DETERIORATION_ALERT,Résilience monétaire et financière,YELLOW
MLI,2024,PNUM,STABLE,STABILITY_SIGNAL,Souveraineté numérique,YELLOW
MLI,2024,PRES,PROGRESSING,PROGRESSION_SIGNAL,Certification énergie-eau,YELLOW
MLI,2024,PTRA,CRITICAL,DETERIORATION_ALERT,Transport et logistique,YELLOW
MOZ,2024,PECO,STABLE,STABILITY_SIGNAL,Diversification économique,YELLOW
MOZ,2024,PENV,CRITICAL,DECLINE_SIGNAL,Résilience environnementale,YELLOW
MOZ,2024,PGEO,STABLE,STABILITY_SIGNAL,Gouvernance géopolitique et stabilité,YELLOW
MOZ,2024,PHUM,PROGRESSING,PROGRESSION_SIGNAL,Capital humain,YELLOW
MOZ,2024,PMIL,STABLE,STABILITY_SIGNAL,Résilience sécuritaire,YELLOW
MOZ,2024,PMIN,DECLINING,DECLINE_SIGNAL,Chaîne de valeur minière,YELLOW
MOZ,2024,PMON,PROGRESSING,PROGRESSION_SIGNAL,Résilience monétaire et financière,YELLOW
MOZ,2024,PNUM,STABLE,STABILITY_SIGNAL,Souveraineté numérique,YELLOW
MOZ,2024,PRES,DECLINING,DETERIORATION_ALERT,Certification énergie-eau,YELLOW
MOZ,2024,PTRA,DECLINING,DETERIORATION_ALERT,Transport et logistique,YELLOW
MRT,2024,PECO,DECLINING,DECLINE_SIGNAL,Diversification économique,YELLOW
MRT,2024,PENV,STABLE,STABILITY_SIGNAL,Résilience environnementale,YELLOW
MRT,2024,PGEO,STABLE,STABILITY_SIGNAL,Gouvernance géopolitique et stabilité,YELLOW
MRT,2024,PHUM,DECLINING,DECLINE_SIGNAL,Capital humain,YELLOW
MRT,2024,PMIL,ACCELERATING,PROGRESSION_SIGNAL,Résilience sécuritaire,YELLOW
MRT,2024,PMIN,PROGRESSING,PROGRESSION_SIGNAL,Chaîne de valeur minière,YELLOW
MRT,2024,PMON,DECLINING,DECLINE_SIGNAL,Résilience monétaire et financière,YELLOW
MRT,2024,PNUM,STABLE,STABILITY_SIGNAL,Souveraineté numérique,YELLOW
MRT,2024,PRES,CRITICAL,DETERIORATION_ALERT,Certification énergie-eau,YELLOW
MRT,2024,PTRA,CRITICAL,DETERIORATION_ALERT,Transport et logistique,YELLOW
MUS,2024,PECO,STABLE,STABILITY_SIGNAL,Diversification économique,YELLOW
MUS,2024,PENV,CRITICAL,DETERIORATION_ALERT,Résilience environnementale,YELLOW
MUS,2024,PGEO,STABLE,STABILITY_SIGNAL,Gouvernance géopolitique et stabilité,YELLOW
MUS,2024,PHUM,CRITICAL,DECLINE_SIGNAL,Capital humain,YELLOW
MUS,2024,PMIL,DECLINING,DETERIORATION_ALERT,Résilience sécuritaire,YELLOW
MUS,2024,PMIN,STABLE,STABILITY_SIGNAL,Chaîne de valeur minière,YELLOW
MUS,2024,PMON,PROGRESSING,PROGRESSION_SIGNAL,Résilience monétaire et financière,YELLOW
MUS,2024,PNUM,PROGRESSING,PROGRESSION_SIGNAL,Souveraineté numérique,YELLOW
MUS,2024,PRES,CRITICAL,DETERIORATION_ALERT,Certification énergie-eau,YELLOW
MUS,2024,PTRA,CRITICAL,DETERIORATION_ALERT,Transport et logistique,YELLOW
MWI,2024,PECO,CRITICAL,DETERIORATION_ALERT,Diversification économique,YELLOW
MWI,2024,PENV,CRITICAL,DETERIORATION_ALERT,Résilience environnementale,YELLOW
MWI,2024,PGEO,DECLINING,DECLINE_SIGNAL,Gouvernance géopolitique et stabilité,YELLOW
MWI,2024,PHUM,DECLINING,DECLINE_SIGNAL,Capital humain,YELLOW
MWI,2024,PMIL,STABLE,STABILITY_SIGNAL,Résilience sécuritaire,YELLOW
MWI,2024,PMIN,STABLE,STABILITY_SIGNAL,Chaîne de valeur minière,YELLOW
MWI,2024,PMON,DECLINING,DETERIORATION_ALERT,Résilience monétaire et financière,YELLOW
MWI,2024,PNUM,PROGRESSING,PROGRESSION_SIGNAL,Souveraineté numérique,YELLOW
MWI,2024,PRES,DECLINING,DETERIORATION_ALERT,Certification énergie-eau,YELLOW
MWI,2024,PTRA,CRITICAL,DETERIORATION_ALERT,Transport et logistique,YELLOW
NAM,2024,PECO,STABLE,STABILITY_SIGNAL,Diversification économique,YELLOW
NAM,2024,PENV,CRITICAL,DECLINE_SIGNAL,Résilience environnementale,YELLOW
NAM,2024,PGEO,STABLE,STABILITY_SIGNAL,Gouvernance géopolitique et stabilité,YELLOW
NAM,2024,PHUM,STABLE,STABILITY_SIGNAL,Capital humain,YELLOW
NAM,2024,PMIL,PROGRESSING,PROGRESSION_SIGNAL,Résilience sécuritaire,YELLOW
NAM,2024,PMIN,DECLINING,DECLINE_SIGNAL,Chaîne de valeur minière,YELLOW
NAM,2024,PMON,CRITICAL,DETERIORATION_ALERT,Résilience monétaire et financière,YELLOW
NAM,2024,PNUM,PROGRESSING,PROGRESSION_SIGNAL,Souveraineté numérique,YELLOW
NAM,2024,PRES,CRITICAL,DETERIORATION_ALERT,Certification énergie-eau,YELLOW
NAM,2024,PTRA,CRITICAL,DETERIORATION_ALERT,Transport et logistique,YELLOW
NER,2024,PECO,DECLINING,DECLINE_SIGNAL,Diversification économique,YELLOW
NER,2024,PENV,DECLINING,DETERIORATION_ALERT,Résilience environnementale,YELLOW
NER,2024,PGEO,DECLINING,DECLINE_SIGNAL,Gouvernance géopolitique et stabilité,YELLOW
NER,2024,PHUM,STABLE,STABILITY_SIGNAL,Capital humain,YELLOW
NER,2024,PMIL,DECLINING,DETERIORATION_ALERT,Résilience sécuritaire,YELLOW
NER,2024,PMIN,DECLINING,DECLINE_SIGNAL,Chaîne de valeur minière,YELLOW
NER,2024,PMON,DECLINING,DETERIORATION_ALERT,Résilience monétaire et financière,YELLOW
NER,2024,PNUM,PROGRESSING,PROGRESSION_SIGNAL,Souveraineté numérique,YELLOW
NER,2024,PRES,PROGRESSING,PROGRESSION_SIGNAL,Certification énergie-eau,YELLOW
NER,2024,PTRA,DECLINING,DETERIORATION_ALERT,Transport et logistique,YELLOW
NGA,2024,PECO,CRITICAL,DECLINE_SIGNAL,Diversification économique,YELLOW
NGA,2024,PENV,CRITICAL,DETERIORATION_ALERT,Résilience environnementale,YELLOW
NGA,2024,PGEO,DECLINING,DECLINE_SIGNAL,Gouvernance géopolitique et stabilité,YELLOW
NGA,2024,PHUM,CRITICAL,DECLINE_SIGNAL,Capital humain,YELLOW
NGA,2024,PMIL,ACCELERATING,PROGRESSION_SIGNAL,Résilience sécuritaire,YELLOW
NGA,2024,PMIN,PROGRESSING,PROGRESSION_SIGNAL,Chaîne de valeur minière,YELLOW
NGA,2024,PMON,DECLINING,DETERIORATION_ALERT,Résilience monétaire et financière,YELLOW
NGA,2024,PNUM,STABLE,STABILITY_SIGNAL,Souveraineté numérique,YELLOW
NGA,2024,PRES,DECLINING,DETERIORATION_ALERT,Certification énergie-eau,YELLOW
NGA,2024,PTRA,CRITICAL,DETERIORATION_ALERT,Transport et logistique,YELLOW
RWA,2024,PECO,PROGRESSING,PROGRESSION_SIGNAL,Diversification économique,YELLOW
RWA,2024,PENV,CRITICAL,DETERIORATION_ALERT,Résilience environnementale,YELLOW
RWA,2024,PGEO,STABLE,STABILITY_SIGNAL,Gouvernance géopolitique et stabilité,YELLOW
RWA,2024,PHUM,STABLE,STABILITY_SIGNAL,Capital humain,YELLOW
RWA,2024,PMIL,PROGRESSING,PROGRESSION_SIGNAL,Résilience sécuritaire,YELLOW
RWA,2024,PMIN,PROGRESSING,PROGRESSION_SIGNAL,Chaîne de valeur minière,YELLOW
