country_iso3,year,region_code,region_label,annual_direction,amar_risk_band,nb_pillars_observed,publication_status
KEN,2023,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
KEN,2024,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
LBR,2020,AFW,Afrique de l'Ouest,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
LBR,2021,AFW,Afrique de l'Ouest,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
LBR,2022,AFW,Afrique de l'Ouest,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
LBR,2023,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
LBR,2024,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
LBY,2020,AFN,Afrique du Nord,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
LBY,2021,AFN,Afrique du Nord,IMPROVING,YELLOW,10,OFFICIAL_CONSOLIDATED
LBY,2022,AFN,Afrique du Nord,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
LBY,2023,AFN,Afrique du Nord,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
LBY,2024,AFN,Afrique du Nord,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
LSO,2020,AFS,Afrique Australe,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
LSO,2021,AFS,Afrique Australe,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
LSO,2022,AFS,Afrique Australe,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
LSO,2023,AFS,Afrique Australe,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
LSO,2024,AFS,Afrique Australe,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
MAR,2020,AFN,Afrique du Nord,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
MAR,2021,AFN,Afrique du Nord,IMPROVING,YELLOW,10,OFFICIAL_CONSOLIDATED
MAR,2022,AFN,Afrique du Nord,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
MAR,2023,AFN,Afrique du Nord,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
MAR,2024,AFN,Afrique du Nord,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
MDG,2020,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
MDG,2021,AFE,Afrique de l'Est,IMPROVING,YELLOW,10,OFFICIAL_CONSOLIDATED
MDG,2022,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
MDG,2023,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
